gene,log2_neuron_over_glia
Plekhb2,1.523
Gm37068,0.0
Gm28415,0.0
1110002O04Rik,0.818
Gm37146,0.0
Gm33222,0.0
4930535G08Rik,0.0
Hs6st1,0.63
Gm37335,0.066
Gm33280,-0.02
Uggt1,0.036
Neurl3,-2.315
Arid5a,-2.765
4930403P22Rik,-1.251
Kansl3,-0.24
Fer1l5,-0.324
Lman2l,-0.077
Cnnm4,0.504
Cnnm3,-0.1
Gm38033,-0.681
Ankrd23,-1.11
Ankrd39,-0.001
Sema4c,-1.602
D430040D24Rik,-2.09
Fam178b,-3.28
Cox5b,0.585
Actr1b,0.786
4933424G06Rik,0.071
Gm33533,0.226
Zap70,-1.488
Tmem131,-0.273
Gm38115,-0.25
Vwa3b,0.569
Gm37020,0.368
Cnga3,0.786
Inpp4a,1.064
4930439A04Rik,0.0
Coa5,0.449
Unc50,-0.536
Mgat4a,0.67
2010300C02Rik,1.122
4930556I23Rik,0.119
Tsga10,-0.408
Gm26805,0.657
Lipt1,0.348
Mitd1,-0.608
Mrpl30,0.252
Lyg2,0.0
Gm15457,0.0
Lyg1,0.0
Txndc9,-0.021
Eif5b,-0.388
Rev1,-0.02
Gm37062,0.016
Gm5099,0.0
Aff3,-0.38
Gm16150,-0.293
Gm16151,0.0
Gm16152,-1.462
Lonrf2,1.819
Chst10,1.67
Gm37707,0.0
Nms,0.011
Pdcl3,0.166
Gm37821,0.0
Npas2,-1.726
Rpl31,-0.008
Tbc1d8,0.821
Cnot11,0.087
Gm15832,0.183
Rnf149,0.078
Creg2,1.98
D930019O06Rik,1.525
Rfx8,0.366
Gm3646,-1.429
1700066B17Rik,-1.1
Map4k4,-0.558
Il1r2,-0.252
Gm16894,1.795
Il1r1,-1.967
Il1rl2,-4.087
Il1rl1,-1.633
Il18r1,-1.776
Il18rap,-1.362
Gm35801,0.0
Slc9a4,0.0
Slc9a2,-0.419
Gm37623,0.0
Gm37915,0.0
Mfsd9,1.342
Tmem182,-1.283
